ID	Carat Weight	Cut	Color	Clarity	Polish	Symmetry	Report	Price
1	 1.10 	Ideal	H	SI1	VG	EX	GIA	5169.00
2	 0.83 	Ideal	H	VS1	ID	ID	AGSL	3470.00
3	 0.85 	Ideal	H	SI1	EX	EX	GIA	3183.00
4	 0.91 	Ideal	E	SI1	VG	VG	GIA	4370.00
5	 0.83 	Ideal	G	SI1	EX	EX	GIA	3171.00
6	 1.53 	Ideal	E	SI1	ID	ID	AGSL	12791.00
7	 1.00 	Very Good	D	SI1	VG	G	GIA	5747.00
8	 1.50 	Fair	F	SI1	VG	VG	GIA	10450.00
9	 2.11 	Ideal	H	SI1	VG	VG	GIA	18609.00
10	 1.05 	Very Good	E	VS1	VG	G	GIA	7666.00
11	 0.91 	Ideal	D	VS2	VG	VG	GIA	6224.00
12	 1.01 	Good	E	SI1	G	G	GIA	5161.00
13	 0.92 	Good	I	VS2	VG	VG	GIA	3679.00
14	 2.51 	Very Good	G	VS2	VG	VG	GIA	34361.00
15	 1.50 	Very Good	F	SI1	VG	VG	GIA	11004.00
16	 2.20 	Ideal	H	VS2	EX	VG	GIA	22241.00
17	 1.52 	Ideal	D	VS1	EX	EX	GIA	17659.00
18	 1.28 	Very Good	I	VS1	EX	VG	GIA	6726.00
19	 1.01 	Good	I	SI1	VG	VG	GIA	4238.00
20	 0.90 	Very Good	F	SI1	VG	EX	GIA	3624.00
21	 2.60 	Ideal	G	VS2	EX	EX	GIA	37621.00
22	 0.80 	Very Good	F	VS1	EX	G	GIA	3559.00
23	 1.07 	Very Good	G	SI1	G	G	GIA	4829.00
24	 2.02 	Good	I	VVS2	EX	VG	GIA	19756.00
25	 2.16 	Ideal	F	VVS1	ID	ID	AGSL	44121.00
26	 2.03 	Good	G	VS1	VG	VG	GIA	23726.00
27	 2.02 	Very Good	I	SI1	G	G	GIA	14839.00
28	 1.01 	Very Good	F	SI1	EX	EX	GIA	5010.00
29	 2.41 	Very Good	H	VS2	EX	EX	GIA	27337.00
30	 0.90 	Good	H	SI1	VG	G	GIA	3485.00
31	 0.92 	Ideal	G	SI1	G	VG	GIA	4025.00
32	 1.01 	Ideal	E	VVS2	EX	EX	GIA	9735.00
33	 2.04 	Very Good	D	VVS1	VG	VG	GIA	41867.00
34	 1.56 	Ideal	G	VS1	EX	EX	GIA	14957.00
35	 0.77 	Signature-Ideal	F	SI1	EX	EX	GIA	3321.00
36	 2.01 	Very Good	I	VS1	VG	VG	GIA	18023.00
37	 2.05 	Very Good	H	VS2	VG	VG	GIA	19976.00
38	 1.01 	Very Good	F	VS2	VG	VG	GIA	6257.00
39	 1.01 	Very Good	E	SI1	EX	EX	GIA	5534.00
40	 0.86 	Ideal	E	SI1	EX	EX	GIA	4228.00
41	 1.01 	Good	G	SI1	VG	G	GIA	4905.00
42	 2.29 	Very Good	F	VS1	EX	VG	GIA	34657.00
43	 1.28 	Ideal	G	VVS2	ID	ID	AGSL	10958.00
44	 2.12 	Ideal	F	VS1	EX	EX	GIA	33667.00
